State | Easternmost Zip | Westernmost Zip | Northernmost Zip | Southernmost Zip
---------------------------------------------------------------
AP | 96337 96208 
VA | 22314 
KY | 41001 
VA | 22312 
LA | 71315 
AL | 36250 
LA | 71309 71306 
NY | 13607 
IL | 61412 
NC | 28006 
FL | 32420 
NY | 14802 
ME | 4002 
NY | 14803 
OH | 45812 
MI | 48610 
NM | 87001 
WI | 54201 
MS | 38820 
IA | 50511 
MI | 48001 
IL | 60102 
CA | 91804 91802 
IL | 62001 
CA | 91801 91899 91896 91803 
TX | 78333 78332 
AL | 35442 
AR | 72410 
TX | 77411 
OK | 73716 
PA | 15001 
CA | 92656 92698 
AR | 72820 
WV | 25501 
AK | 99720 
NJ | 7820 
TN | 38504 
OH | 43902 
AR | 71820 
MI | 49010 
OR | 97407 
NY | 14706 
CA | 95910 
IA | 50007 
TX | 75002 
MD | 21810 
SD | 57714 
TX | 75013 
OK | 74825 
KY | 41601 
MI | 49227 
NE | 68710 
KS | 66833 
WV | 25810 
MI | 48101 
IL | 62410 
MI | 49401 
MO | 64420 
NJ | 7401 
SC | 29810 
NJ | 7711 
GA | 31301 
PA | 15412 
CO | 80510 
PA | 17002 
KY | 42204 
MI | 48002 
WI | 53002 
PA | 18104 18109 18195 18106 18105 18103 18102 18101 
GA | 31003 
NJ | 8501 
NY | 14707 
NJ | 8720 
PA | 17810 
IA | 50008 
IL | 61810 
TX | 78935 
AL | 35013 
NC | 28509 
NE | 69301 
OH | 44601 
MS | 38720 
IA | 50602 
PA | 15413 
TX | 79003 
PA | 15101 
TN | 38541 
MI | 49805 
NJ | 8001 
WV | 25002 
PA | 16821 
TN | 38542 
MA | 2134 
WA | 98524 
IL | 62807 
NY | 14708 
MO | 64001 
KS | 66401 
WV | 26320 
NE | 68920 
WI | 54610 
MI | 48801 
CO | 80420 
AR | 72921 
GA | 31510 
WI | 54611 
MN | 55002 
WI | 54805 
KS | 67622 
WA | 99103 
KY | 42020 
ID | 83312 
WI | 54909 
NC | 28702 
NY | 14804 
MI | 48003 
ND | 58520 
CO | 81210 
AR | 72003 
ME | 4535 
CA | 93201 
MI | 49707 
AR | 72611 
SD | 57312 
IL | 61413 
OH | 45301 
MI | 49902 
KY | 42603 
MN | 56111 
GA | 30023 30022 30009 30005 30004 
AL | 35014 
AR | 71920 
UT | 84004 
TX | 79832 79831 79830 
NY | 14805 
CA | 91903 
WY | 83128 
TN | 38543 
NJ | 7620 
CA | 91901 
AZ | 85920 
NY | 12008 
OR | 97324 
ND | 58311 
IL | 62610 60803 
NH | 3602 
GA | 30412 
CA | 95701 
IA | 51002 
WY | 83414 
KS | 66834 
IA | 50603 
CA | 91001 91003 
TX | 77412 
NC | 27202 
IL | 62411 
MO | 64620 
UT | 84001 
TN | 37301 
KS | 67330 
NY | 12009 
